
--- Source: agriculture-in-kpk impact of fertilizer on crops.xlsx ---
    Unnamed: 0 Unnamed: 1              Unnamed: 2                    Unnamed: 3 Unnamed: 4 Unnamed: 5
0           Sr       Year                 Factors                  Sub - Factor  Districts     Amount
443        443  2016-2017               Tubewells                  Pvt - Deisel      Kohat          0
444        444  2016-2017               Tubewells                   Pvt - Elect      Kohat        630
445        445  2016-2017     Tractors/Bulldozers               Govt - Tractors      Kohat          7
446        446  2016-2017     Tractors/Bulldozers              Govt - Bulldozer      Kohat          0
447        447  2016-2017     Tractors/Bulldozers                Pvt - Tractors      Kohat        520
448        448  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer      Kohat          2
449        449  2016-2017  Agricultural Machinery        Wheat Threshers - Govt      Kohat          0
450        450  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt      Kohat         78
451        451  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt      Kohat          0
452        452  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt      Kohat          0
453        453  2016-2017  Agricultural Machinery         Maize Shellers - Govt      Kohat          0
454        454  2016-2017  Agricultural Machinery          Maize Shellers - Pvt      Kohat          0
455        455  2016-2017  Agricultural Machinery        Wheat Harvester - Govt      Kohat          0
456        456  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt      Kohat          0
457        457  2016-2017                   Wheat            Area (in Hectares)      Kohat      35556
458        458  2016-2017                   Wheat        Production (in Tonnes)      Kohat      62753
459        459  2016-2017                   Wheat       Yield per Hectare in Kg      Kohat       1765
460        460  2016-2017               Sugarcane            Area (in Hectares)      Kohat        133
461        461  2016-2017               Sugarcane        Production (in Tonnes)      Kohat       4631
462        462  2016-2017               Sugarcane       Yield per Hectare in Kg      Kohat      34820
463        463  2016-2017                    Rice            Area (in Hectares)      Kohat         62
464        464  2016-2017                    Rice        Production (in Tonnes)      Kohat         99
465        465  2016-2017                    Rice       Yield per Hectare in Kg      Kohat       1597
466        466  2016-2017                   Maize            Area (in Hectares)      Kohat       1422
467        467  2016-2017                   Maize        Production (in Tonnes)      Kohat       1903
468        468  2016-2017                   Maize       Yield per Hectare in Kg      Kohat       1338
469        469  2016-2017              Fertilizer             Total (in Tonnes)   Kohistan         80
470        470  2016-2017          Area Irrigated                  Canal - Govt   Kohistan       2510
471        471  2016-2017          Area Irrigated                   Canal - Pvt   Kohistan       5133
472        472  2016-2017          Area Irrigated                         Tanks   Kohistan          0
473        473  2016-2017          Area Irrigated                     Tubewells   Kohistan       1144
474        474  2016-2017          Area Irrigated                    Left Pumps   Kohistan          0
475        475  2016-2017          Area Irrigated                         Wells   Kohistan       1952
476        476  2016-2017          Area Irrigated                        Others   Kohistan       7536
477        477  2016-2017               Tubewells                 Govt - Deisel   Kohistan          0
478        478  2016-2017               Tubewells                  Govt - Elect   Kohistan         29
479        479  2016-2017               Tubewells                  Pvt - Deisel   Kohistan       1712
480        480  2016-2017               Tubewells                   Pvt - Elect   Kohistan          0
481        481  2016-2017     Tractors/Bulldozers               Govt - Tractors   Kohistan          0
482        482  2016-2017     Tractors/Bulldozers              Govt - Bulldozer   Kohistan          0
483        483  2016-2017     Tractors/Bulldozers                Pvt - Tractors   Kohistan          6
484        484  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer   Kohistan       1065
485        485  2016-2017  Agricultural Machinery        Wheat Threshers - Govt   Kohistan          6
486        486  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt   Kohistan        255
487        487  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt   Kohistan          0
488        488  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt   Kohistan          1
489        489  2016-2017  Agricultural Machinery         Maize Shellers - Govt   Kohistan          0
490        490  2016-2017  Agricultural Machinery          Maize Shellers - Pvt   Kohistan         25
491        491  2016-2017  Agricultural Machinery        Wheat Harvester - Govt   Kohistan          4
492        492  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt   Kohistan         35
493        493  2016-2017                   Wheat            Area (in Hectares)   Kohistan       1800
494        494  2016-2017                   Wheat        Production (in Tonnes)   Kohistan       3992
495        495  2016-2017                   Wheat       Yield per Hectare in Kg   Kohistan       2218
496        496  2016-2017               Sugarcane            Area (in Hectares)   Kohistan          0
497        497  2016-2017               Sugarcane        Production (in Tonnes)   Kohistan          0
498        498  2016-2017               Sugarcane       Yield per Hectare in Kg   Kohistan          0
499        499  2016-2017                    Rice            Area (in Hectares)   Kohistan         76
500        500  2016-2017                    Rice        Production (in Tonnes)   Kohistan        170
501        501  2016-2017                    Rice       Yield per Hectare in Kg   Kohistan       2237
502        502  2016-2017                   Maize            Area (in Hectares)   Kohistan      26385
503        503  2016-2017                   Maize        Production (in Tonnes)   Kohistan      53607
504        504  2016-2017                   Maize       Yield per Hectare in Kg   Kohistan       2032
505        505  2016-2017              Fertilizer             Total (in Tonnes)      Lakki       2291
506        506  2016-2017          Area Irrigated                  Canal - Govt      Lakki          0
507        507  2016-2017          Area Irrigated                   Canal - Pvt      Lakki      25785
508        508  2016-2017          Area Irrigated                         Tanks      Lakki          0
509        509  2016-2017          Area Irrigated                     Tubewells      Lakki          0
510        510  2016-2017          Area Irrigated                    Left Pumps      Lakki          0
511        511  2016-2017          Area Irrigated                         Wells      Lakki          0
512        512  2016-2017          Area Irrigated                        Others      Lakki          0
513        513  2016-2017               Tubewells                 Govt - Deisel      Lakki          0
514        514  2016-2017               Tubewells                  Govt - Elect      Lakki          0
515        515  2016-2017               Tubewells                  Pvt - Deisel      Lakki          0
516        516  2016-2017               Tubewells                   Pvt - Elect      Lakki          0
517        517  2016-2017     Tractors/Bulldozers               Govt - Tractors      Lakki          0
518        518  2016-2017     Tractors/Bulldozers              Govt - Bulldozer      Lakki          0
519        519  2016-2017     Tractors/Bulldozers                Pvt - Tractors      Lakki         12
520        520  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer      Lakki          0
521        521  2016-2017  Agricultural Machinery        Wheat Threshers - Govt      Lakki          0
522        522  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt      Lakki          5
523        523  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt      Lakki          0
524        524  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt      Lakki          0
525        525  2016-2017  Agricultural Machinery         Maize Shellers - Govt      Lakki          1
526        526  2016-2017  Agricultural Machinery          Maize Shellers - Pvt      Lakki          7
527        527  2016-2017  Agricultural Machinery        Wheat Harvester - Govt      Lakki          0
528        528  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt      Lakki          0
529        529  2016-2017                   Wheat            Area (in Hectares)      Lakki      21138
530        530  2016-2017                   Wheat        Production (in Tonnes)      Lakki      30370
531        531  2016-2017                   Wheat       Yield per Hectare in Kg      Lakki       1437
532        532  2016-2017               Sugarcane            Area (in Hectares)      Lakki        298
533        533  2016-2017               Sugarcane        Production (in Tonnes)      Lakki      11880
534        534  2016-2017               Sugarcane       Yield per Hectare in Kg      Lakki      39866
535        535  2016-2017                    Rice            Area (in Hectares)      Lakki        216
536        536  2016-2017                    Rice        Production (in Tonnes)      Lakki        343
537        537  2016-2017                    Rice       Yield per Hectare in Kg      Lakki       1588
538        538  2016-2017                   Maize            Area (in Hectares)      Lakki        916
539        539  2016-2017                   Maize        Production (in Tonnes)      Lakki       1768
540        540  2016-2017                   Maize       Yield per Hectare in Kg      Lakki       1930
541        541  2016-2017              Fertilizer             Total (in Tonnes)   Malakand       6590
542        542  2016-2017          Area Irrigated                  Canal - Govt   Malakand      16390
543        543  2016-2017          Area Irrigated                   Canal - Pvt   Malakand       9625
544        544  2016-2017          Area Irrigated                         Tanks   Malakand          5
545        545  2016-2017          Area Irrigated                     Tubewells   Malakand       9885
546        546  2016-2017          Area Irrigated                    Left Pumps   Malakand         10
547        547  2016-2017          Area Irrigated                         Wells   Malakand        381
548        548  2016-2017          Area Irrigated                        Others   Malakand          0
549        549  2016-2017               Tubewells                 Govt - Deisel   Malakand          0
550        550  2016-2017               Tubewells                  Govt - Elect   Malakand        160
551        551  2016-2017               Tubewells                  Pvt - Deisel   Malakand         98
552        552  2016-2017               Tubewells                   Pvt - Elect   Malakand        356
553        553  2016-2017     Tractors/Bulldozers               Govt - Tractors   Malakand          9
554        554  2016-2017     Tractors/Bulldozers              Govt - Bulldozer   Malakand          0
555        555  2016-2017     Tractors/Bulldozers                Pvt - Tractors   Malakand        338
556        556  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer   Malakand          0
557        557  2016-2017  Agricultural Machinery        Wheat Threshers - Govt   Malakand          3
558        558  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt   Malakand        198
559        559  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt   Malakand          0
560        560  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt   Malakand          0
561        561  2016-2017  Agricultural Machinery         Maize Shellers - Govt   Malakand          0
562        562  2016-2017  Agricultural Machinery          Maize Shellers - Pvt   Malakand         12
563        563  2016-2017  Agricultural Machinery        Wheat Harvester - Govt   Malakand          0
564        564  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt   Malakand          0
565        565  2016-2017                   Wheat            Area (in Hectares)   Malakand      27117
566        566  2016-2017                   Wheat        Production (in Tonnes)   Malakand      37480
567        567  2016-2017                   Wheat       Yield per Hectare in Kg   Malakand       1382
568        568  2016-2017               Sugarcane            Area (in Hectares)   Malakand       4790
569        569  2016-2017               Sugarcane        Production (in Tonnes)   Malakand     185524
570        570  2016-2017               Sugarcane       Yield per Hectare in Kg   Malakand      38732
571        571  2016-2017                    Rice            Area (in Hectares)   Malakand       4985
572        572  2016-2017                    Rice        Production (in Tonnes)   Malakand      11059
573        573  2016-2017                    Rice       Yield per Hectare in Kg   Malakand       2218
574        574  2016-2017                   Maize            Area (in Hectares)   Malakand       4782
575        575  2016-2017                   Maize        Production (in Tonnes)   Malakand      10940
576        576  2016-2017                   Maize       Yield per Hectare in Kg   Malakand       2288
577        577  2016-2017              Fertilizer             Total (in Tonnes)   Mansehra      13906
578        578  2016-2017          Area Irrigated                  Canal - Govt   Mansehra      11120
579        579  2016-2017          Area Irrigated                   Canal - Pvt   Mansehra      16474
580        580  2016-2017          Area Irrigated                         Tanks   Mansehra          0
581        581  2016-2017          Area Irrigated                     Tubewells   Mansehra       2371
582        582  2016-2017          Area Irrigated                    Left Pumps   Mansehra       4416
583        583  2016-2017          Area Irrigated                         Wells   Mansehra          0
584        584  2016-2017          Area Irrigated                        Others   Mansehra       1197
585        585  2016-2017               Tubewells                 Govt - Deisel   Mansehra          0
586        586  2016-2017               Tubewells                  Govt - Elect   Mansehra          8
587        587  2016-2017               Tubewells                  Pvt - Deisel   Mansehra          8
588        588  2016-2017               Tubewells                   Pvt - Elect   Mansehra         11
589        589  2016-2017     Tractors/Bulldozers               Govt - Tractors   Mansehra          9
590        590  2016-2017     Tractors/Bulldozers              Govt - Bulldozer   Mansehra          2
591        591  2016-2017     Tractors/Bulldozers                Pvt - Tractors   Mansehra        745
592        592  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer   Mansehra          8
593        593  2016-2017  Agricultural Machinery        Wheat Threshers - Govt   Mansehra          3
594        594  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt   Mansehra        275
595        595  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt   Mansehra          0
596        596  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt   Mansehra         35
597        597  2016-2017  Agricultural Machinery         Maize Shellers - Govt   Mansehra          2
598        598  2016-2017  Agricultural Machinery          Maize Shellers - Pvt   Mansehra        172
599        599  2016-2017  Agricultural Machinery        Wheat Harvester - Govt   Mansehra          0
600        600  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt   Mansehra          2
601        601  2016-2017                   Wheat            Area (in Hectares)   Mansehra      37575
602        602  2016-2017                   Wheat        Production (in Tonnes)   Mansehra     103251
603        603  2016-2017                   Wheat       Yield per Hectare in Kg   Mansehra       2748
604        604  2016-2017               Sugarcane            Area (in Hectares)   Mansehra          8
605        605  2016-2017               Sugarcane        Production (in Tonnes)   Mansehra        194
606        606  2016-2017               Sugarcane       Yield per Hectare in Kg   Mansehra      24250
607        607  2016-2017                    Rice            Area (in Hectares)   Mansehra       2290
608        608  2016-2017                    Rice        Production (in Tonnes)   Mansehra       5808
609        609  2016-2017                    Rice       Yield per Hectare in Kg   Mansehra       2536
610        610  2016-2017                   Maize            Area (in Hectares)   Mansehra      55897
611        611  2016-2017                   Maize        Production (in Tonnes)   Mansehra      99673
612        612  2016-2017                   Maize       Yield per Hectare in Kg   Mansehra       1783
613        613  2016-2017              Fertilizer             Total (in Tonnes)     Mardan      54793
614        614  2016-2017          Area Irrigated                  Canal - Govt     Mardan       4923
615        615  2016-2017          Area Irrigated                   Canal - Pvt     Mardan      11943
616        616  2016-2017          Area Irrigated                         Tanks     Mardan          0
617        617  2016-2017          Area Irrigated                     Tubewells     Mardan         12
618        618  2016-2017          Area Irrigated                    Left Pumps     Mardan          0
619        619  2016-2017          Area Irrigated                         Wells     Mardan          0
620        620  2016-2017          Area Irrigated                        Others     Mardan          0
621        621  2016-2017               Tubewells                 Govt - Deisel     Mardan          0
622        622  2016-2017               Tubewells                  Govt - Elect     Mardan          0
623        623  2016-2017               Tubewells                  Pvt - Deisel     Mardan          0
624        624  2016-2017               Tubewells                   Pvt - Elect     Mardan         12
625        625  2016-2017     Tractors/Bulldozers               Govt - Tractors     Mardan         10
626        626  2016-2017     Tractors/Bulldozers              Govt - Bulldozer     Mardan          4
627        627  2016-2017     Tractors/Bulldozers                Pvt - Tractors     Mardan        614
628        628  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer     Mardan          7
629        629  2016-2017  Agricultural Machinery        Wheat Threshers - Govt     Mardan          7
630        630  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt     Mardan        243
631        631  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt     Mardan          0
632        632  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt     Mardan          5
633        633  2016-2017  Agricultural Machinery         Maize Shellers - Govt     Mardan          3
634        634  2016-2017  Agricultural Machinery          Maize Shellers - Pvt     Mardan         95
635        635  2016-2017  Agricultural Machinery        Wheat Harvester - Govt     Mardan          0
636        636  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt     Mardan          4
637        637  2016-2017                   Wheat            Area (in Hectares)     Mardan      44123
638        638  2016-2017                   Wheat        Production (in Tonnes)     Mardan      91004
639        639  2016-2017                   Wheat       Yield per Hectare in Kg     Mardan       2063
640        640  2016-2017               Sugarcane            Area (in Hectares)     Mardan      30915
641        641  2016-2017               Sugarcane        Production (in Tonnes)     Mardan    1369273
642        642  2016-2017               Sugarcane       Yield per Hectare in Kg     Mardan      44292
643        643  2016-2017                    Rice            Area (in Hectares)     Mardan       1863
644        644  2016-2017                    Rice        Production (in Tonnes)     Mardan       3321
645        645  2016-2017                    Rice       Yield per Hectare in Kg     Mardan       1783
646        646  2016-2017                   Maize            Area (in Hectares)     Mardan      28992
647        647  2016-2017                   Maize        Production (in Tonnes)     Mardan      89651
648        648  2016-2017                   Maize       Yield per Hectare in Kg     Mardan       3092
649        649  2016-2017              Fertilizer             Total (in Tonnes)   Nowshera       4683
650        650  2016-2017          Area Irrigated                  Canal - Govt   Nowshera      66297
651        651  2016-2017          Area Irrigated                   Canal - Pvt   Nowshera          0
652        652  2016-2017          Area Irrigated                         Tanks   Nowshera          0
653        653  2016-2017          Area Irrigated                     Tubewells   Nowshera       1579
654        654  2016-2017          Area Irrigated                    Left Pumps   Nowshera        948
655        655  2016-2017          Area Irrigated                         Wells   Nowshera       4379
656        656  2016-2017          Area Irrigated                        Others   Nowshera       1067
657        657  2016-2017               Tubewells                 Govt - Deisel   Nowshera          0
658        658  2016-2017               Tubewells                  Govt - Elect   Nowshera         12
659        659  2016-2017               Tubewells                  Pvt - Deisel   Nowshera          0
660        660  2016-2017               Tubewells                   Pvt - Elect   Nowshera       2161
661        661  2016-2017     Tractors/Bulldozers               Govt - Tractors   Nowshera          9
662        662  2016-2017     Tractors/Bulldozers              Govt - Bulldozer   Nowshera          0
663        663  2016-2017     Tractors/Bulldozers                Pvt - Tractors   Nowshera       1637
664        664  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer   Nowshera          0
665        665  2016-2017  Agricultural Machinery        Wheat Threshers - Govt   Nowshera          0
666        666  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt   Nowshera          0
667        667  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt   Nowshera          0
668        668  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt   Nowshera          0
669        669  2016-2017  Agricultural Machinery         Maize Shellers - Govt   Nowshera          0
670        670  2016-2017  Agricultural Machinery          Maize Shellers - Pvt   Nowshera          0
671        671  2016-2017  Agricultural Machinery        Wheat Harvester - Govt   Nowshera          0
672        672  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt   Nowshera          0
673        673  2016-2017                   Wheat            Area (in Hectares)   Nowshera      25007
674        674  2016-2017                   Wheat        Production (in Tonnes)   Nowshera      52671
675        675  2016-2017                   Wheat       Yield per Hectare in Kg   Nowshera       2106
676        676  2016-2017               Sugarcane            Area (in Hectares)   Nowshera       5263
677        677  2016-2017               Sugarcane        Production (in Tonnes)   Nowshera     270003
678        678  2016-2017               Sugarcane       Yield per Hectare in Kg   Nowshera      51302
679        679  2016-2017                    Rice            Area (in Hectares)   Nowshera         79
680        680  2016-2017                    Rice        Production (in Tonnes)   Nowshera        142
681        681  2016-2017                    Rice       Yield per Hectare in Kg   Nowshera       1797
682        682  2016-2017                   Maize            Area (in Hectares)   Nowshera      12131
683        683  2016-2017                   Maize        Production (in Tonnes)   Nowshera      33042
684        684  2016-2017                   Maize       Yield per Hectare in Kg   Nowshera       2724
685        685  2016-2017              Fertilizer             Total (in Tonnes)   Peshawar      36830
686        686  2016-2017          Area Irrigated                  Canal - Govt   Peshawar      20564
687        687  2016-2017          Area Irrigated                   Canal - Pvt   Peshawar         62
688        688  2016-2017          Area Irrigated                         Tanks   Peshawar          0
689        689  2016-2017          Area Irrigated                     Tubewells   Peshawar       2210
690        690  2016-2017          Area Irrigated                    Left Pumps   Peshawar          0
691        691  2016-2017          Area Irrigated                         Wells   Peshawar       1701
692        692  2016-2017          Area Irrigated                        Others   Peshawar        356
693        693  2016-2017               Tubewells                 Govt - Deisel   Peshawar          0
694        694  2016-2017               Tubewells                  Govt - Elect   Peshawar         47
695        695  2016-2017               Tubewells                  Pvt - Deisel   Peshawar         70
696        696  2016-2017               Tubewells                   Pvt - Elect   Peshawar       1728
697        697  2016-2017     Tractors/Bulldozers               Govt - Tractors   Peshawar          8
698        698  2016-2017     Tractors/Bulldozers              Govt - Bulldozer   Peshawar          0
699        699  2016-2017     Tractors/Bulldozers                Pvt - Tractors   Peshawar        602
700        700  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer   Peshawar          0
701        701  2016-2017  Agricultural Machinery        Wheat Threshers - Govt   Peshawar          0
702        702  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt   Peshawar        430
703        703  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt   Peshawar          0
704        704  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt   Peshawar          8
705        705  2016-2017  Agricultural Machinery         Maize Shellers - Govt   Peshawar          0
706        706  2016-2017  Agricultural Machinery          Maize Shellers - Pvt   Peshawar          0
707        707  2016-2017  Agricultural Machinery        Wheat Harvester - Govt   Peshawar          0
708        708  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt   Peshawar          0
709        709  2016-2017                   Wheat            Area (in Hectares)   Peshawar      37544
710        710  2016-2017                   Wheat        Production (in Tonnes)   Peshawar      80306
711        711  2016-2017                   Wheat       Yield per Hectare in Kg   Peshawar       2139
712        712  2016-2017               Sugarcane            Area (in Hectares)   Peshawar       8134
713        713  2016-2017               Sugarcane        Production (in Tonnes)   Peshawar     422998
714        714  2016-2017               Sugarcane       Yield per Hectare in Kg   Peshawar      52004
715        715  2016-2017                    Rice            Area (in Hectares)   Peshawar        345
716        716  2016-2017                    Rice        Production (in Tonnes)   Peshawar        724
717        717  2016-2017                    Rice       Yield per Hectare in Kg   Peshawar       2099
718        718  2016-2017                   Maize            Area (in Hectares)   Peshawar      16000
719        719  2016-2017                   Maize        Production (in Tonnes)   Peshawar      29532
720        720  2016-2017                   Maize       Yield per Hectare in Kg   Peshawar       1846
721        721  2016-2017              Fertilizer             Total (in Tonnes)    Shangla       1573
722        722  2016-2017          Area Irrigated                  Canal - Govt    Shangla      28440
723        723  2016-2017          Area Irrigated                   Canal - Pvt    Shangla      38878
724        724  2016-2017          Area Irrigated                         Tanks    Shangla          0
725        725  2016-2017          Area Irrigated                     Tubewells    Shangla       3918
726        726  2016-2017          Area Irrigated                    Left Pumps    Shangla          0
727        727  2016-2017          Area Irrigated                         Wells    Shangla       1372
728        728  2016-2017          Area Irrigated                        Others    Shangla       2232
729        729  2016-2017               Tubewells                 Govt - Deisel    Shangla          0
730        730  2016-2017               Tubewells                  Govt - Elect    Shangla         63
731        731  2016-2017               Tubewells                  Pvt - Deisel    Shangla         29
732        732  2016-2017               Tubewells                   Pvt - Elect    Shangla        623
733        733  2016-2017     Tractors/Bulldozers               Govt - Tractors    Shangla         11
734        734  2016-2017     Tractors/Bulldozers              Govt - Bulldozer    Shangla         42
735        735  2016-2017     Tractors/Bulldozers                Pvt - Tractors    Shangla        519
736        736  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer    Shangla          0
737        737  2016-2017  Agricultural Machinery        Wheat Threshers - Govt    Shangla          6
738        738  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt    Shangla        313
739        739  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt    Shangla          0
740        740  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt    Shangla          8
741        741  2016-2017  Agricultural Machinery         Maize Shellers - Govt    Shangla          0
742        742  2016-2017  Agricultural Machinery          Maize Shellers - Pvt    Shangla         16
743        743  2016-2017  Agricultural Machinery        Wheat Harvester - Govt    Shangla          0
744        744  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt    Shangla          0
745        745  2016-2017                   Wheat            Area (in Hectares)    Shangla      24750
746        746  2016-2017                   Wheat        Production (in Tonnes)    Shangla      41760
747        747  2016-2017                   Wheat       Yield per Hectare in Kg    Shangla       1687
748        748  2016-2017               Sugarcane            Area (in Hectares)    Shangla          0
749        749  2016-2017               Sugarcane        Production (in Tonnes)    Shangla          0
750        750  2016-2017               Sugarcane       Yield per Hectare in Kg    Shangla          0
751        751  2016-2017                    Rice            Area (in Hectares)    Shangla       1377
752        752  2016-2017                    Rice        Production (in Tonnes)    Shangla       3438
753        753  2016-2017                    Rice       Yield per Hectare in Kg    Shangla       2497
754        754  2016-2017                   Maize            Area (in Hectares)    Shangla      37453
755        755  2016-2017                   Maize        Production (in Tonnes)    Shangla      62510
756        756  2016-2017                   Maize       Yield per Hectare in Kg    Shangla       1669
757        757  2016-2017              Fertilizer             Total (in Tonnes)      Swabi       6567
758        758  2016-2017          Area Irrigated                  Canal - Govt      Swabi          0
759        759  2016-2017          Area Irrigated                   Canal - Pvt      Swabi       3019
760        760  2016-2017          Area Irrigated                         Tanks      Swabi          0
761        761  2016-2017          Area Irrigated                     Tubewells      Swabi          0
762        762  2016-2017          Area Irrigated                    Left Pumps      Swabi          0
763        763  2016-2017          Area Irrigated                         Wells      Swabi          0
764        764  2016-2017          Area Irrigated                        Others      Swabi          0
765        765  2016-2017               Tubewells                 Govt - Deisel      Swabi          0
766        766  2016-2017               Tubewells                  Govt - Elect      Swabi          0
767        767  2016-2017               Tubewells                  Pvt - Deisel      Swabi          0
768        768  2016-2017               Tubewells                   Pvt - Elect      Swabi          0
769        769  2016-2017     Tractors/Bulldozers               Govt - Tractors      Swabi          8
770        770  2016-2017     Tractors/Bulldozers              Govt - Bulldozer      Swabi          2
771        771  2016-2017     Tractors/Bulldozers                Pvt - Tractors      Swabi         67
772        772  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer      Swabi          3
773        773  2016-2017  Agricultural Machinery        Wheat Threshers - Govt      Swabi          2
774        774  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt      Swabi         38
775        775  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt      Swabi          0
776        776  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt      Swabi          4
777        777  2016-2017  Agricultural Machinery         Maize Shellers - Govt      Swabi          1
778        778  2016-2017  Agricultural Machinery          Maize Shellers - Pvt      Swabi         50
779        779  2016-2017  Agricultural Machinery        Wheat Harvester - Govt      Swabi          0
780        780  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt      Swabi          0
781        781  2016-2017                   Wheat            Area (in Hectares)      Swabi      37195
782        782  2016-2017                   Wheat        Production (in Tonnes)      Swabi      68085
783        783  2016-2017                   Wheat       Yield per Hectare in Kg      Swabi       1830
784        784  2016-2017               Sugarcane            Area (in Hectares)      Swabi       2253
785        785  2016-2017               Sugarcane        Production (in Tonnes)      Swabi      86783
786        786  2016-2017               Sugarcane       Yield per Hectare in Kg      Swabi      38519
787        787  2016-2017                    Rice            Area (in Hectares)      Swabi        986
788        788  2016-2017                    Rice        Production (in Tonnes)      Swabi       1856
789        789  2016-2017                    Rice       Yield per Hectare in Kg      Swabi       1882
790        790  2016-2017                   Maize            Area (in Hectares)      Swabi      29834
791        791  2016-2017                   Maize        Production (in Tonnes)      Swabi      64142
792        792  2016-2017                   Maize       Yield per Hectare in Kg      Swabi       2150
793        793  2016-2017              Fertilizer             Total (in Tonnes)       Swat      34687
794        794  2016-2017          Area Irrigated                  Canal - Govt       Swat      24814
795        795  2016-2017          Area Irrigated                   Canal - Pvt       Swat          0
796        796  2016-2017          Area Irrigated                         Tanks       Swat          0
797        797  2016-2017          Area Irrigated                     Tubewells       Swat         94
798        798  2016-2017          Area Irrigated                    Left Pumps       Swat        121
799        799  2016-2017          Area Irrigated                         Wells       Swat      11443
800        800  2016-2017          Area Irrigated                        Others       Swat        835
801        801  2016-2017               Tubewells                 Govt - Deisel       Swat          0
802        802  2016-2017               Tubewells                  Govt - Elect       Swat         56
803        803  2016-2017               Tubewells                  Pvt - Deisel       Swat        951
804        804  2016-2017               Tubewells                   Pvt - Elect       Swat       1792
805        805  2016-2017     Tractors/Bulldozers               Govt - Tractors       Swat         16
806        806  2016-2017     Tractors/Bulldozers              Govt - Bulldozer       Swat          0
807        807  2016-2017     Tractors/Bulldozers                Pvt - Tractors       Swat       1912
808        808  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer       Swat          0
809        809  2016-2017  Agricultural Machinery        Wheat Threshers - Govt       Swat          9
810        810  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt       Swat        844
811        811  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt       Swat          0
812        812  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt       Swat          0
813        813  2016-2017  Agricultural Machinery         Maize Shellers - Govt       Swat          4
814        814  2016-2017  Agricultural Machinery          Maize Shellers - Pvt       Swat        160
815        815  2016-2017  Agricultural Machinery        Wheat Harvester - Govt       Swat          4
816        816  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt       Swat         12
817        817  2016-2017                   Wheat            Area (in Hectares)       Swat      62709
818        818  2016-2017                   Wheat        Production (in Tonnes)       Swat     122616
819        819  2016-2017                   Wheat       Yield per Hectare in Kg       Swat       1955
820        820  2016-2017               Sugarcane            Area (in Hectares)       Swat          0
821        821  2016-2017               Sugarcane        Production (in Tonnes)       Swat          0
822        822  2016-2017               Sugarcane       Yield per Hectare in Kg       Swat          0
823        823  2016-2017                    Rice            Area (in Hectares)       Swat       5235
